x,Sample1,Sample2,Sample3,Sample4
481.15,3.69E-06,1.72E-07,1.26E-08,2.11E-06
481.225,6.07E-06,3.36E-06,5.34E-07,7.37E-07
481.3,3.71E-06,5.25E-06,1.07E-06,3.23E-07
481.375,4.62E-07,7.85E-07,7.83E-07,9.11E-07
481.45,1.44E-06,0,3.88E-07,2.04E-06
481.525,0,6.43E-07,8.50E-07,1.48E-06
481.6,0,5.25E-06,4.28E-07,9.65E-07
481.675,0,3.27E-06,6.75E-07,1.99E-06
481.75,0,3.88E-06,6.15E-07,2.44E-06
481.825,0,4.10E-06,1.91E-06,1.69E-06
481.9,2.69E-07,3.45E-07,2.74E-06,1.17E-06
481.975,9.16E-07,0,5.42E-07,9.56E-07
482.05,5.23E-06,0,4.29E-07,1.15E-06
482.125,9.51E-07,0,1.57E-06,1.67E-06
482.2,4.68E-06,0,1.38E-06,1.51E-06
482.275,6.08E-06,0,4.85E-07,1.15E-06
482.35,3.52E-06,0,5.43E-07,1.02E-06
482.425,5.13E-06,0,1.04E-06,1.73E-06
482.5,7.25E-06,4.21E-08,1.57E-06,3.13E-06
482.575,1.89E-06,2.78E-06,1.81E-06,2.63E-06
482.65,0,9.89E-06,4.93E-07,1.42E-06
482.725,0,4.41E-06,4.87E-07,1.92E-06
482.8,0,1.81E-07,1.31E-06,1.95E-06
482.875,0,0,1.65E-06,2.24E-06
482.95,0,0,7.01E-07,1.48E-06
483.025,0,0,8.89E-07,1.43E-06
483.1,0,0,1.83E-06,1.74E-06
483.175,1.27E-06,1.32E-06,1.43E-06,2.95E-06
483.25,3.57E-06,4.23E-06,3.01E-07,2.51E-06
483.325,2.03E-06,2.45E-06,1.91E-07,1.82E-06
483.4,0,0,0,1.28E-06
483.475,0,0,0,1.39E-06
483.55,1.36E-06,0,0,2.13E-06
483.625,3.48E-06,0,0,1.89E-06
483.7,7.91E-06,0,2.63E-07,1.35E-06
483.775,2.51E-06,0,6.44E-07,1.85E-06
483.85,0,0,3.81E-07,2.84E-06
483.925,0,0,0,2.74E-06
484,0,3.41E-06,0,1.48E-06
484.075,0,3.70E-06,0,1.39E-06
484.15,0,8.86E-07,0,1.84E-06
484.225,0,0,4.14E-08,2.29E-06
484.3,0,0,5.61E-07,1.62E-06
484.375,0,0,2.28E-06,2.19E-06
484.45,0,0,2.00E-06,2.06E-06
484.525,0,0,1.09E-06,1.90E-06
484.6,2.80E-06,0,6.29E-07,1.32E-06
484.675,1.72E-06,0,1.13E-06,2.82E-06
484.75,8.97E-07,2.02E-06,2.18E-06,4.49E-06
484.825,0,4.03E-06,2.59E-06,3.95E-06
484.9,0,1.95E-06,4.31E-06,1.70E-06
484.975,0,0,3.31E-06,1.30E-06
485.05,0,5.26E-07,1.11E-06,1.88E-06
485.125,1.90E-07,3.22E-06,5.76E-07,1.90E-06
485.2,2.45E-06,5.07E-06,1.13E-06,1.95E-06
485.275,5.86E-06,2.36E-07,1.01E-06,2.07E-06
485.35,4.53E-06,1.63E-06,9.61E-07,2.65E-06
485.425,2.23E-06,4.25E-06,3.80E-07,3.01E-06
485.5,4.36E-06,2.11E-06,7.51E-07,2.92E-06
485.575,5.97E-06,0,1.36E-06,2.64E-06
485.65,3.21E-06,0,2.07E-06,2.35E-06
485.725,2.90E-06,0,2.11E-06,2.33E-06
485.8,6.15E-06,5.59E-08,9.35E-07,2.68E-06
485.875,3.74E-06,1.47E-06,1.53E-06,1.56E-06
485.95,1.22E-06,6.98E-06,7.37E-07,7.84E-07
486.025,0,6.29E-06,2.04E-06,9.12E-07
486.1,0,7.14E-06,7.59E-07,3.08E-06
486.175,5.03E-07,3.10E-06,3.00E-08,3.05E-06
486.25,2.73E-06,2.64E-07,5.25E-07,1.78E-06
486.325,3.63E-06,0,1.45E-06,2.06E-06
486.4,0,0,2.35E-06,2.98E-06
486.475,1.32E-06,0,2.66E-06,3.54E-06
486.55,3.88E-06,0,7.44E-07,2.26E-06
486.625,1.66E-06,0,0,1.12E-06
486.7,5.16E-07,0,1.37E-07,9.53E-07
486.775,3.05E-06,3.53E-06,1.33E-06,1.69E-06
486.85,6.15E-06,6.42E-06,1.29E-06,1.75E-06
486.925,7.92E-06,7.16E-06,5.13E-07,2.13E-06
487,9.03E-06,5.31E-06,8.73E-07,1.63E-06
487.075,4.59E-06,1.56E-06,1.61E-06,2.53E-06
487.15,6.87E-06,0,2.06E-06,2.73E-06
487.225,4.91E-06,0,2.19E-06,3.19E-06
487.3,5.70E-06,7.58E-06,1.07E-06,2.53E-06
487.375,3.29E-06,6.89E-06,5.68E-08,1.83E-06
487.45,2.25E-07,2.12E-06,1.95E-08,2.13E-06
487.525,0,0,9.54E-07,2.35E-06
487.6,0,0,2.62E-06,2.80E-06
487.675,0,0,2.42E-06,3.48E-06
487.75,0,4.04E-07,8.18E-07,2.34E-06
487.825,5.67E-07,4.23E-06,6.37E-07,2.25E-06
487.9,2.81E-06,3.55E-06,5.70E-07,2.37E-06
487.975,3.49E-06,5.04E-07,2.18E-08,1.77E-06
488.05,0,2.10E-06,0,9.02E-07
488.125,0,4.39E-06,2.00E-07,7.33E-07
488.2,0,3.12E-06,1.17E-06,7.41E-07
488.275,0,9.75E-06,2.97E-06,1.85E-06
488.35,3.89E-06,5.08E-06,2.76E-06,2.71E-06
488.425,2.56E-06,3.47E-07,2.99E-06,2.75E-06
488.5,4.20E-07,2.78E-06,2.92E-06,1.86E-06
488.575,0,7.31E-07,1.87E-06,7.77E-07
488.65,0,2.48E-06,1.08E-06,1.18E-06
488.725,0,5.93E-06,2.11E-07,3.01E-06
488.8,0,1.58E-06,1.88E-07,3.89E-06
488.875,0,1.00E-07,7.03E-07,2.49E-06
488.95,0,0,3.12E-06,1.07E-06
489.025,0,0,2.88E-06,1.50E-06
489.1,0,0,2.27E-06,9.51E-07
489.175,0,0,3.06E-06,1.07E-06
489.25,1.46E-06,3.13E-06,1.91E-06,2.16E-06
489.325,4.45E-06,8.71E-06,1.55E-06,3.16E-06
489.4,5.99E-06,4.34E-06,2.73E-06,2.53E-06
489.475,2.19E-06,4.33E-06,2.78E-06,2.68E-06
489.55,1.64E-07,3.22E-06,2.07E-06,3.94E-06
489.625,0,5.44E-07,1.59E-06,4.85E-06
489.7,0,0,7.26E-07,3.79E-06
489.775,0,0,1.61E-06,2.80E-06
489.85,0,0,3.25E-07,1.22E-06
489.925,0,0,5.05E-07,2.13E-06
490,7.08E-07,5.88E-07,1.98E-06,2.80E-06
490.075,3.08E-06,3.87E-06,2.27E-06,2.19E-06
490.15,3.17E-06,3.85E-06,2.17E-06,1.39E-06
490.225,4.48E-06,3.55E-07,3.38E-06,1.27E-06
490.3,9.21E-06,1.69E-06,2.62E-06,1.44E-06
490.375,5.21E-06,4.45E-06,4.26E-07,3.23E-06
490.45,1.24E-06,1.36E-06,2.00E-07,3.94E-06
490.525,3.95E-07,0,7.39E-07,4.13E-06
490.6,3.84E-06,5.63E-07,1.03E-06,4.53E-06
490.675,2.89E-06,3.36E-06,1.70E-06,3.21E-06
490.75,3.84E-07,9.60E-06,1.29E-06,1.61E-06
490.825,2.09E-06,4.98E-06,2.03E-06,2.87E-06
490.9,5.12E-06,2.09E-06,4.37E-06,3.76E-06
490.975,5.71E-06,0,1.78E-06,2.94E-06
491.05,5.92E-06,0,1.23E-06,2.16E-06
491.125,1.98E-06,0,1.17E-06,1.85E-06
491.2,1.53E-07,0,1.76E-06,1.64E-06
491.275,2.40E-07,0,1.72E-06,2.20E-06
491.35,4.90E-06,0,1.63E-06,2.59E-06
491.425,5.90E-06,0,1.59E-06,3.25E-06
491.5,4.74E-06,1.61E-06,3.43E-07,4.46E-06
491.575,1.28E-06,3.98E-06,6.00E-07,3.81E-06
491.65,0,3.27E-06,2.72E-06,3.40E-06
491.725,2.53E-07,1.55E-06,2.41E-06,2.80E-06
491.8,3.09E-06,3.57E-06,1.17E-06,2.75E-06
491.875,3.47E-06,0,2.17E-06,3.71E-06
491.95,5.68E-07,0,8.83E-07,4.04E-06
492.025,0,1.77E-06,3.38E-07,4.51E-06
492.1,0,4.06E-06,2.03E-07,2.72E-06
492.175,0,2.17E-06,9.18E-07,3.08E-06
492.25,6.56E-07,0,2.63E-06,3.29E-06
492.325,6.21E-06,0,2.81E-06,2.51E-06
492.4,6.30E-06,0,2.82E-06,2.10E-06
492.475,6.20E-07,0,2.55E-06,1.81E-06
492.55,3.26E-06,0,1.47E-06,2.26E-06
